ID;sexe;age;revenus_K€;enfants;enfant_conduite_accompagnee;type_vehicule;age_vehicule;est_rouge;usage_vehicule;type_conduite;points_perdus;date_demande;formule;tarif_devis_€
1;F;[15-25];[125-150];oui;non;Sports Car;7;non;Commercial;Highly Urban/ Urban;0;février;dev_integral;[300-450]
2;F;> 75;[50-75];oui;oui;Minivan;1;non;Private;Highly Urban/ Urban;2;mai;dev_express;< 300
3;F;[45-55];< 25;oui;non;Pickup;4;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
4;F;< 15;< 25;non;non;z_SUV;5;non;Private;Highly Urban/ Urban;3;avril;dev_integral;[300-450]
5;M;[65-75];< 25;non;non;Panel Truck;12;non;Commercial;Highly Urban/ Urban;2;mars;dev_vip;> 600
6;F;[25-35];[75-100];oui;non;z_SUV;15;non;Private;z_Highly Rural/ Rural;2;mars;dev_premium;[450-600]
7;F;> 75;[125-150];oui;oui;Minivan;9;non;Commercial;z_Highly Rural/ Rural;0;mars;dev_express;< 300
8;M;[65-75];[50-75];non;non;z_SUV;10;non;Private;Highly Urban/ Urban;1;mars;dev_premium;[300-450]
9;M;[65-75];[100-125];non;non;Minivan;14;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
10;F;[45-55];< 25;non;non;Panel Truck;10;oui;Commercial;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
11;F;[55-65];< 25;oui;oui;Minivan;10;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
12;M;< 15;< 25;oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
13;F;[65-75];[50-75];non;non;z_SUV;18;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
14;M;< 15;< 25;non;non;Van;6;non;Commercial;z_Highly Rural/ Rural;5;mai;dev_integral;[300-450]
15;M;> 75;[25-50];oui;non;Minivan;1;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
16;M;> 75;[25-50];non;non;Minivan;13;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
17;F;[45-55];[100-125];non;non;z_SUV;15;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
18;F;> 75;[50-75];non;non;Van;8;oui;Commercial;Highly Urban/ Urban;1;mars;dev_express;< 300
19;F;[65-75];[75-100];non;non;Minivan;11;oui;Private;Highly Urban/ Urban;0;février;dev_express;< 300
20;F;> 75;[25-50];non;non;z_SUV;10;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
21;M;[35-45];[50-75];oui;non;Minivan;16;non;Private;z_Highly Rural/ Rural;0;mars;dev_express;< 300
22;M;> 75;[25-50];oui;oui;Minivan;;non;Private;Highly Urban/ Urban;1;mars;dev_premium;[300-450]
23;F;[15-25];< 25;non;non;Van;7;oui;Commercial;Highly Urban/ Urban;0;mai;dev_premium;[300-450]
24;F;> 75;[25-50];oui;non;Sports Car;1;non;Commercial;Highly Urban/ Urban;5;février;dev_premium;[450-600]
25;M;[15-25];< 25;non;non;Pickup;1;non;Commercial;Highly Urban/ Urban;1;avril;dev_express;< 300
26;M;[65-75];< 25;non;non;Minivan;;oui;Private;z_Highly Rural/ Rural;1;avril;dev_express;< 300
27;F;[25-35];[25-50];non;non;Sports Car;1;non;Private;z_Highly Rural/ Rural;0;mars;dev_integral;< 300
28;F;[45-55];[75-100];non;non;z_SUV;;non;Private;Highly Urban/ Urban;5;avril;dev_integral;< 300
29;F;[55-65];[50-75];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;mars;dev_vip;> 600
30;F;[15-25];[100-125];non;non;z_SUV;17;non;Private;Highly Urban/ Urban;0;février;dev_premium;[300-450]
31;F;[45-55];[25-50];oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
32;M;[35-45];[25-50];oui;non;Minivan;5;oui;Commercial;z_Highly Rural/ Rural;6;avril;dev_integral;[300-450]
33;F;[65-75];[100-125];non;non;z_SUV;9;non;Private;Highly Urban/ Urban;3;mars;dev_express;< 300
34;M;< 15;[25-50];non;non;z_SUV;6;non;Private;z_Highly Rural/ Rural;2;février;dev_premium;[300-450]
35;M;[45-55];[50-75];oui;oui;Sports Car;12;non;Private;Highly Urban/ Urban;0;février;dev_express;< 300
36;F;[65-75];< 25;non;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
37;F;[55-65];[25-50];non;non;Sports Car;15;non;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
38;F;< 15;[75-100];oui;non;z_SUV;14;non;Private;Highly Urban/ Urban;2;février;dev_integral;< 300
39;F;[55-65];> 150;non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;mai;dev_integral;< 300
40;M;[35-45];[50-75];non;non;z_SUV;11;non;Private;z_Highly Rural/ Rural;1;mars;dev_premium;[300-450]
41;F;[15-25];< 25;oui;oui;Sports Car;10;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
42;F;> 75;< 25;oui;non;z_SUV;8;non;Private;Highly Urban/ Urban;5;avril;dev_express;< 300
43;M;[55-65];< 25;oui;non;Pickup;10;oui;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
44;F;[55-65];[50-75];oui;oui;Pickup;;oui;Private;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
45;M;[45-55];[75-100];non;non;z_SUV;13;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
46;F;[65-75];[75-100];non;non;z_SUV;15;non;Private;Highly Urban/ Urban;4;février;dev_express;< 300
47;M;> 75;< 25;oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
48;F;[35-45];[125-150];non;non;Panel Truck;13;oui;Commercial;Highly Urban/ Urban;1;février;dev_integral;[300-450]
49;M;> 75;[75-100];non;non;Van;7;oui;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
50;F;[35-45];[50-75];oui;oui;Van;1;oui;Private;z_Highly Rural/ Rural;1;avril;dev_integral;< 300
51;F;[25-35];[25-50];non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;7;mars;dev_integral;[300-450]
52;F;[45-55];[25-50];oui;non;Minivan;5;non;Private;Highly Urban/ Urban;1;mars;dev_express;< 300
53;M;[15-25];[100-125];non;non;Minivan;7;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
54;F;[45-55];[50-75];non;non;Sports Car;19;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
55;F;< 15;[75-100];non;non;Minivan;8;non;Commercial;z_Highly Rural/ Rural;5;avril;dev_express;< 300
56;M;[45-55];[75-100];non;non;Van;13;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
57;F;[55-65];[25-50];oui;non;Van;9;oui;Commercial;Highly Urban/ Urban;4;mai;dev_integral;< 300
58;M;[25-35];[50-75];non;non;z_SUV;12;non;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
59;F;[65-75];[25-50];oui;oui;Van;1;oui;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
60;F;[25-35];[25-50];oui;oui;Sports Car;7;non;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
61;F;[65-75];[75-100];non;non;Minivan;16;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
62;F;[55-65];[25-50];non;non;Pickup;8;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
63;F;[65-75];[50-75];oui;non;Van;5;non;Commercial;Highly Urban/ Urban;0;mai;dev_integral;< 300
64;F;> 75;[25-50];oui;non;Sports Car;1;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
65;F;< 15;< 25;non;non;z_SUV;6;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
66;M;[45-55];[50-75];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;5;mai;dev_express;< 300
67;M;[65-75];[75-100];non;non;Pickup;7;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
68;M;[45-55];< 25;non;non;Minivan;5;non;Private;z_Highly Rural/ Rural;3;mai;dev_express;< 300
69;M;[65-75];< 25;oui;non;z_SUV;13;oui;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
70;F;[25-35];[75-100];non;non;Pickup;3;non;Commercial;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
71;F;< 15;[75-100];non;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
